Date : 2025-05-17 17:46:20
Directory : c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src
Total : 175 files,  12319 codes, 252 comments, 2707 blanks, all 15278 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\General\Design Elements\arrow left black.svg                                  | XML            |          7 |          0 |          1 |          8 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\General\Design Elements\arrow left white.svg                                  | XML            |          7 |          0 |          1 |          8 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\General\Design Elements\arrow left yellow.svg                                 | XML            |          7 |          0 |          1 |          8 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\General\Design Elements\arrow right black.svg                                 | XML            |          7 |          0 |          1 |          8 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\General\Design Elements\arrow right white.svg                                 | XML            |          7 |          0 |          1 |          8 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\General\Design Elements\arrow right yellow.svg                                | XML            |          7 |          0 |          1 |          8 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\General\Design Elements\arrow top.svg                                         | XML            |          3 |          0 |          0 |          3 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\General\Design Elements\bulletDot.svg                                         | XML            |          1 |          0 |          0 |          1 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\General\Design Elements\gmail logo clicked.svg                                | XML            |          1 |          0 |          0 |          1 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\General\Design Elements\gmail logo.svg                                        | XML            |          1 |          0 |          0 |          1 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\General\Design Elements\instagram logo clicked.svg                            | XML            |          1 |          0 |          0 |          1 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\General\Design Elements\instagram logo.svg                                    | XML            |          1 |          0 |          0 |          1 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\General\Design Elements\menuIcon activated.svg                                | XML            |          1 |          0 |          0 |          1 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\General\Design Elements\menuIcon.svg                                          | XML            |          1 |          0 |          0 |          1 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\General\Design Elements\quit icon activated.svg                               | XML            |          1 |          0 |          0 |          1 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\General\Design Elements\quit icon.svg                                         | XML            |          1 |          0 |          0 |          1 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\General\Design styles\PlainContentPage.css                                    | PostCSS        |         60 |          0 |          6 |         66 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\General\Design styles\PlainContentPage2.css                                   | PostCSS        |         40 |          0 |          5 |         45 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\General\Design styles\PlainContentPage3.css                                   | PostCSS        |         29 |          0 |          5 |         34 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Ajalugu\Ajalugu.jsx                                                | JavaScript JSX |         95 |          2 |         38 |        135 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Dokumendid\Components\DokumendidSisu.css                           | PostCSS        |          9 |          0 |          1 |         10 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Dokumendid\Components\DokumendidSisu.jsx                           | JavaScript JSX |         60 |          1 |         20 |         81 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Dokumendid\Design elements\file icon Clicked.svg                   | XML            |          1 |          0 |          0 |          1 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Dokumendid\Design elements\file icon.svg                           | XML            |          1 |          0 |          0 |          1 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Dokumendid\Dokumendid.jsx                                          | JavaScript JSX |         25 |          2 |         12 |         39 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Error404\Content\flag.svg                                          | XML            |          1 |          0 |          0 |          1 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Error404\Error404.css                                              | PostCSS        |         84 |          1 |         20 |        105 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Error404\Error404.jsx                                              | JavaScript JSX |         61 |          1 |         24 |         86 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Esileht\Components\KalendriPointTile.css                           | PostCSS        |         73 |          1 |         12 |         86 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Esileht\Components\KalendriPointTile.jsx                           | JavaScript JSX |         35 |          4 |         21 |         60 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Esileht\Components\KalendriPoints.css                              | PostCSS        |        120 |          2 |         20 |        142 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Esileht\Components\KalendriPoints.jsx                              | JavaScript JSX |        163 |          8 |         35 |        206 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Esileht\Components\TopBanner.css                                   | PostCSS        |        177 |          1 |         42 |        220 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Esileht\Components\TopBanner.jsx                                   | JavaScript JSX |         73 |          1 |         17 |         91 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Esileht\Design elements\Eesti Liputoimkondade Liit.html            | HTML           |      3,424 |          7 |        691 |      4,122 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Esileht\Design elements\Eesti Liputoimkondade Liit_files\index.css | PostCSS        |         30 |          0 |         12 |         42 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Esileht\Design elements\Eesti Liputoimkondade Liit_files\main.jsx  | JavaScript JSX |         16 |          1 |          1 |         18 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Esileht\Design elements\FlagIcon.svg                               | XML            |          1 |          0 |          0 |          1 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Esileht\Design elements\arrow right black.svg                      | XML            |          5 |          0 |          0 |          5 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Esileht\Design elements\arrow right yellow.svg                     | XML            |          5 |          0 |          0 |          5 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Esileht\Design elements\gmail logo clicked.svg                     | XML            |          1 |          0 |          0 |          1 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Esileht\Design elements\gmail logo.svg                             | XML            |          1 |          0 |          0 |          1 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Esileht\Design elements\instagram logo clicked.svg                 | XML            |          1 |          0 |          0 |          1 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Esileht\Design elements\instagram logo.svg                         | XML            |          1 |          0 |          0 |          1 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Esileht\Design elements\plus.svg                                   | XML            |          1 |          0 |          0 |          1 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Esileht\Esileht.css                                                | PostCSS        |         48 |          0 |         11 |         59 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Esileht\Esileht.jsx                                                | JavaScript JSX |        111 |          2 |         42 |        155 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\GaleriiLeht\Components\PildidGaleriiGrid.css                       | PostCSS        |         64 |          1 |         16 |         81 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\GaleriiLeht\Components\PildidGaleriiGrid.jsx                       | JavaScript JSX |         79 |          1 |         20 |        100 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\GaleriiLeht\Components\PildidGaleriiTile.css                       | PostCSS        |         38 |          1 |         11 |         50 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\GaleriiLeht\Components\PildidGaleriiTile.jsx                       | JavaScript JSX |         16 |          0 |          2 |         18 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\GaleriiLeht\DesignElements\tagasiIcon activated.svg                | XML            |          1 |          0 |          0 |          1 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\GaleriiLeht\DesignElements\tagasiIcon.svg                          | XML            |          1 |          0 |          0 |          1 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\GaleriiLeht\GaleriiLeht.css                                        | PostCSS        |         45 |          0 |          9 |         54 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\GaleriiLeht\GaleriiLeht.jsx                                        | JavaScript JSX |         48 |          1 |         15 |         64 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Galerii\Components\GaleriiSyndmusGrid.css                          | PostCSS        |         54 |          1 |         20 |         75 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Galerii\Components\GaleriiSyndmusGrid.jsx                          | JavaScript JSX |         26 |          1 |         10 |         37 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Galerii\Components\GaleriiSyndmusTile.css                          | PostCSS        |        142 |          1 |         47 |        190 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Galerii\Components\GaleriiSyndmusTile.jsx                          | JavaScript JSX |         32 |          0 |          9 |         41 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Galerii\Content\galeriiData.json                                   | JSON           |        782 |          0 |          0 |        782 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Galerii\Galerii.css                                                | PostCSS        |         34 |          0 |          7 |         41 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Galerii\Galerii.jsx                                                | JavaScript JSX |         52 |          1 |         18 |         71 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Juhatus\Components\JuhatusLiige.css                                | PostCSS        |         93 |          1 |         15 |        109 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Juhatus\Components\JuhatusLiige.jsx                                | JavaScript JSX |         26 |          0 |          9 |         35 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Juhatus\Components\JuhatusLiigeGrid.css                            | PostCSS        |         64 |          1 |         13 |         78 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Juhatus\Components\JuhatusLiigeGrid.jsx                            | JavaScript JSX |         25 |          1 |          6 |         32 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Juhatus\Content\juhatuseLiikmed.json                               | JSON           |         72 |          0 |          0 |         72 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Juhatus\Juhatus.css                                                | PostCSS        |         34 |          0 |          7 |         41 |
| c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\Lehekyljed\Juhatus\Juhatus.jsx                                                | JavaScript JSX |         31 |          1 |         16 |         48 |
